,date,prediction,articles_per_day
232,2020-11-19,-0.3106553276638319,810.0
233,2020-11-20,-0.3473527956457199,816.0
234,2020-11-21,-0.3467446964155084,552.0
235,2020-11-22,-0.32096069868995636,560.0
236,2020-11-23,-0.31356560415122314,550.0
237,2020-11-24,-0.2777232580961727,620.0
238,2020-11-25,-0.27372162975116215,740.0
239,2020-11-26,-0.2498932080307561,474.0
240,2020-11-27,-0.32809086937527304,461.0
241,2020-11-28,-0.29465509365006853,442.0
242,2020-11-29,-0.27045769764216365,437.0
243,2020-11-30,-0.2836725855348636,470.0
244,2020-12-01,-0.23331253898939489,651.0
245,2020-12-02,-0.18083285795778664,713.0
246,2020-12-03,-0.23674138873701475,744.0
247,2020-12-04,-0.17011751538891998,721.0
248,2020-12-05,-0.3030707610146863,456.0
249,2020-12-06,-0.29542743538767396,514.0
250,2020-12-07,-0.26950621937429325,539.0
251,2020-12-08,-0.21964612568639413,664.0
252,2020-12-09,-0.17510928259192596,791.0
253,2020-12-10,-0.2012251148545176,663.0
254,2020-12-11,-0.2005149662053428,631.0
255,2020-12-12,-0.15211152111521115,493.0
256,2020-12-13,-0.19469343850842596,569.0
257,2020-12-14,-0.12019826517967781,490.0
258,2020-12-15,0.040196379257440934,662.0
259,2020-12-16,-0.08796704913209767,689.0
260,2020-12-17,-0.10608695652173913,701.0
261,2020-12-18,-0.15777194517351997,694.0
262,2020-12-19,-0.14334911752044768,469.0
263,2020-12-20,-0.2332657200811359,500.0
264,2020-12-21,-0.17923076923076922,526.0
265,2020-12-22,-0.1641509433962264,643.0
266,2020-12-23,-0.13855606758832564,660.0
267,2020-12-24,-0.13657657657657657,562.0
268,2020-12-25,-0.08796622097114708,290.0
269,2020-12-26,0.009891196834817012,409.0
270,2020-12-27,-0.19716981132075473,429.0
271,2020-12-28,-0.1393148450244698,620.0
272,2020-12-29,-0.19572107765451663,516.0
273,2020-12-30,-0.20768229166666666,623.0
274,2020-12-31,-0.25949878738884397,502.0
