date,prediction,articles_per_day
2021-06-12,0.050724637681159424,144.0
2021-06-13,0.045965270684371805,169.0
2021-06-14,-0.10493273542600896,192.0
2021-06-15,0.02857142857142857,230.0
2021-06-16,0.12537764350453173,232.0
2021-06-17,-0.05737704918032787,253.0
2021-06-18,0.09414381022979985,232.0
2021-06-19,0.014634146341463415,140.0
2021-06-20,-0.0481786133960047,147.0
2021-06-21,-0.03838771593090211,181.0
2021-06-22,-0.07588279489105935,233.0
2021-06-23,-0.07228070175438596,248.0
2021-06-24,-0.0520471894517696,250.0
2021-06-25,-0.08301158301158301,178.0
2021-06-26,-0.024175824175824177,166.0
2021-06-27,-0.09259259259259259,167.0
2021-06-28,-0.05822267620020429,168.0
2021-06-29,-0.08901363271852446,215.0
2021-06-30,-0.07581699346405228,264.0
2021-07-01,-0.11613406079501169,222.0
2021-07-02,0.06871609403254973,190.0
2021-07-03,-0.17191283292978207,141.0
2021-07-04,-0.02564102564102564,140.0
2021-07-05,-0.001610305958132045,106.0
2021-07-06,-0.21509433962264152,181.0
2021-07-07,-0.24049000644745325,267.0
2021-07-08,-0.16445066480055984,247.0
2021-07-09,-0.2,277.0
2021-07-10,-0.02528735632183908,150.0
2021-07-11,-0.19298245614035087,187.0
2021-07-12,-0.22401433691756273,193.0
2021-07-13,-0.24777636594663277,273.0
2021-07-14,-0.18921832884097034,323.0
2021-07-15,-0.3452320244773075,338.0
2021-07-16,-0.30167296276308686,322.0
2021-07-17,-0.2506787330316742,189.0
2021-07-18,-0.3829611248966088,207.0
2021-07-19,-0.34504567814476456,245.0
2021-07-20,-0.3500215796288304,400.0
2021-07-21,-0.2683114880493446,448.0
2021-07-22,-0.2931361395525218,456.0
2021-07-23,-0.23446893787575152,427.0
2021-07-24,-0.3346303501945525,263.0
2021-07-25,-0.29606389047347403,299.0
2021-07-26,-0.3102061337355455,340.0
2021-07-27,-0.23176761433868975,558.0
2021-07-28,-0.2503995737879595,647.0
2021-07-29,-0.2717391304347826,634.0
2021-07-30,-0.2565165876777251,581.0
2021-07-31,-0.2834683182467842,357.0
2021-08-01,-0.2476290832455216,324.0
2021-08-02,-0.28678745028722935,393.0
2021-08-03,-0.24382520582647246,544.0
2021-08-04,-0.2432302899592619,722.0
2021-08-05,-0.24731182795698925,758.0
2021-08-06,-0.23530975804307366,646.0
2021-08-07,-0.26170307623718236,386.0
2021-08-08,-0.22879177377892032,398.0
2021-08-09,-0.32097130242825606,391.0
2021-08-10,-0.25940821602987646,599.0
2021-08-11,-0.30195430773465454,627.0
2021-08-12,-0.23794950267788828,671.0
2021-08-13,-0.23703703703703705,604.0
2021-08-14,-0.2841091492776886,319.0
2021-08-15,-0.30236878773803993,366.0
2021-08-16,-0.2705775352432924,378.0
2021-08-17,-0.2270440251572327,547.0
2021-08-18,-0.2179455748958078,704.0
2021-08-19,-0.23165618448637318,655.0
2021-08-20,-0.19550561797752808,539.0
2021-08-21,-0.23298559364133134,343.0
2021-08-22,-0.25075225677031093,339.0
2021-08-23,-0.14387071344107213,435.0
2021-08-24,-0.062162162162162166,635.0
2021-08-25,-0.17376735280038297,716.0
2021-08-26,-0.2036545829649278,579.0
2021-08-27,-0.2484002326934264,588.0
2021-08-28,-0.3165322580645161,338.0
2021-08-29,-0.27423059255856685,372.0
2021-08-30,-0.24815724815724816,348.0
2021-08-31,-0.3407732164208848,429.0
2021-09-01,-0.33312769895126465,556.0
2021-09-02,-0.2513812154696133,499.0
2021-09-03,-0.28680555555555554,494.0
2021-09-04,-0.24929656724817106,301.0
2021-09-05,-0.28833629366489044,286.0
2021-09-06,-0.2818991097922849,114.0
2021-09-07,-0.30272452068617556,336.0
2021-09-08,-0.30146271851587586,485.0
2021-09-09,-0.1721311475409836,544.0
2021-09-10,-0.24069805729338162,523.0
2021-09-11,-0.23168908819133036,229.0
2021-09-12,-0.20892746435213888,276.0
2021-09-13,-0.23790913531998045,353.0
2021-09-14,-0.29340463458110516,478.0
2021-09-15,-0.22190812720848058,484.0
2021-09-16,-0.19942713927676334,479.0
2021-09-17,-0.16941990011525163,449.0
2021-09-18,-0.18217979315831345,216.0
2021-09-19,-0.21556256572029442,325.0
2021-09-20,-0.17996505532906232,297.0
2021-09-21,-0.11196253724989357,407.0
2021-09-22,-0.18423106947697113,439.0
2021-09-23,-0.12548330404217925,486.0
2021-09-24,-0.152,410.0
2021-09-25,-0.1072618254497002,259.0
2021-09-26,-0.21923076923076923,266.0
2021-09-27,-0.09655638082376772,256.0
2021-09-28,-0.08883610451306413,366.0
2021-09-29,-0.09320961619569802,411.0
2021-09-30,-0.10341805433829973,396.0
2021-10-01,-0.07757805108798486,367.0
2021-10-02,0.005887300252312868,202.0
2021-10-03,-0.20309205903021785,243.0
2021-10-04,-0.12951541850220263,197.0
2021-10-05,-0.1245241979336596,322.0
2021-10-06,-0.10071210579857579,336.0
2021-10-07,-0.08074534161490683,335.0
2021-10-08,-0.1344717182497332,319.0
2021-10-09,-0.14699792960662525,165.0
2021-10-10,-0.2566929133858268,217.0
2021-10-11,-0.07877664504170528,187.0
2021-10-12,-0.16987542468856173,305.0
2021-10-13,-0.1591160220994475,312.0
2021-10-14,-0.07085775173148641,325.0
2021-10-15,0.04970414201183432,292.0
2021-10-16,-0.16051844466600199,173.0
2021-10-17,-0.09460834181078331,169.0
2021-10-18,-0.14563106796116504,213.0
2021-10-19,-0.08278145695364239,314.0
2021-10-20,-0.06615532118887824,360.0
2021-10-21,-0.044579533941236066,343.0
2021-10-22,-0.017857142857142856,310.0
2021-10-23,0.024742268041237112,165.0
2021-10-24,-0.0728476821192053,207.0
2021-10-25,-0.012539184952978056,223.0
2021-10-26,0.045300113250283124,309.0
2021-10-27,0.06352459016393443,338.0
2021-10-28,-0.024539877300613498,339.0
2021-10-29,-0.07757065544197234,289.0
2021-10-30,-0.05295315682281059,171.0
2021-10-31,-0.04899135446685879,177.0
2021-11-01,-0.012131715771230503,198.0
2021-11-02,0.012642986152919929,286.0
2021-11-03,0.0779436152570481,310.0
2021-11-04,0.09238395673726904,383.0
2021-11-05,0.012998266897746967,399.0
2021-11-06,-0.03832116788321168,188.0
2021-11-07,-0.019776440240756664,198.0
2021-11-08,-0.10427606901725431,230.0
2021-11-09,-0.13842864778193478,325.0
2021-11-10,-0.07616438356164383,318.0
2021-11-11,-0.15689981096408318,276.0
2021-11-12,-0.07827260458839407,255.0
2021-11-13,-0.18120805369127516,180.0
2021-11-14,-0.15886415963161934,220.0
2021-11-15,-0.23665480427046262,192.0
2021-11-16,-0.10249671484888305,265.0
2021-11-17,-0.0593311758360302,326.0
2021-11-18,-0.10592255125284739,305.0
2021-11-19,-0.12258867454884878,280.0
2021-11-20,-0.1442495126705653,175.0
2021-11-21,-0.1759581881533101,195.0
2021-11-22,-0.2138728323699422,180.0
2021-11-23,-0.24034334763948498,242.0
2021-11-24,-0.07964601769911504,275.0
2021-11-25,-0.16756756756756758,127.0
2021-11-26,-0.37292576419213974,198.0
2021-11-27,-0.32610837438423645,176.0
2021-11-28,-0.2951388888888889,199.0
2021-11-29,-0.2579539892315223,360.0
2021-11-30,-0.2386487468216491,478.0
2021-12-01,-0.21812596006144394,454.0
2021-12-02,-0.23789620341344478,500.0
2021-12-03,-0.24079100426521907,444.0
2021-12-04,-0.13284671532846715,233.0
2021-12-05,-0.27918170878459686,284.0
2021-12-06,-0.21357285429141717,262.0
2021-12-07,-0.15454062665958576,326.0
2021-12-08,-0.1742176553012611,377.0
2021-12-09,-0.18022328548644337,326.0
2021-12-10,-0.2594458438287154,342.0
2021-12-11,-0.2456935630099728,188.0
2021-12-12,-0.19508867667121418,250.0
2021-12-13,-0.2230971128608924,262.0
2021-12-14,-0.2613390928725702,401.0
2021-12-15,-0.23257328990228013,531.0
2021-12-16,-0.23905182804339092,434.0
2021-12-17,-0.27694974003466205,499.0
2021-12-18,-0.33298041291688724,323.0
2021-12-19,-0.31759415401911184,306.0
2021-12-20,-0.3393329804129169,328.0
2021-12-21,-0.30996523754345306,592.0
2021-12-22,-0.17655897821187078,695.0
2021-12-23,-0.19296285953644232,615.0
2021-12-24,-0.30404040404040406,339.0
2021-12-25,-0.38809034907597534,167.0
2021-12-26,-0.2259919493962047,295.0
2021-12-27,-0.3355742296918767,308.0
2021-12-28,-0.23802612481857766,476.0
2021-12-29,-0.2548528490920476,553.0
2021-12-30,-0.24984690753214941,566.0
2021-12-31,-0.32753938077131994,318.0
2022-01-01,-0.32038834951456313,193.0
2022-01-02,-0.2297154899894626,324.0
2022-01-03,-0.2624053826745164,417.0
